id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,logprice,neighbourhood_group_Brooklyn,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Bronx,room_type_Private room,room_type_Shared room
1074506,Amazing Queens Oasis Steps to Train,2981156,Kia,40.76359,-73.92531,160,2,13,10/14/18,0.25,2,85,5.075173815,0,1,0,0,0,0
1076324,2BR Sunny Apt - 15 min from MIDTOWN,3864301,Sen,40.74361,-73.91662,150,30,9,8/20/16,0.12,2,365,5.010635294,0,1,0,0,0,0
1077176,Beautiful Gramercy duplex loft with terrace,5927702,Shayne,40.73807,-73.98187,131,30,24,7/20/19,0.62,2,1,4.875197323,0,0,0,0,0,0
1077179,Large luxury 1 bedroom loft in Gramercy,5927702,Shayne,40.73775,-73.98324,250,14,18,7/3/19,0.4,2,62,5.521460918,0,0,0,0,0,0
1077375,Private RM 15min from the Manhattan,5855145,Edward,40.75959,-73.90835,74,1,137,6/29/19,1.8,1,358,4.304065093,0,1,0,0,1,0
1080543,Sunny Sunset Park Artist Loft,5943212,Doug,40.65475,-74.01211,109,2,71,7/2/19,0.96,1,328,4.691347882,1,0,0,0,0,0
1080766,Summer Special Price Times Square,5944682,Maja & Pierre,40.75964,-73.98534,185,2,245,7/9/19,3.21,1,128,5.220355825,0,0,0,0,1,0
1083888,"Verna's Brownstone  (no stove, no gatherings)",5959653,Verna,40.68532,-73.92429,80,1,15,7/9/19,0.21,2,279,4.382026635,1,0,0,0,1,0
1087215,Stunning Designer Loft in the heart of Chelsea,1841580,George,40.74877,-73.9994,300,5,45,7/20/19,0.63,1,76,5.703782475,0,0,0,0,0,0
1089240,Great Apartment with luxurious bath in NYC/Chelsea,5971251,D. Anthony,40.74197,-73.99702,176,2,124,7/23/19,1.62,1,254,5.170483995,0,0,0,0,1,0
1089542,Private Cozy Bedroom in Brooklyn,663764,Karen,40.6536,-73.94883,47,2,253,7/22/19,3.3,2,109,3.850147602,1,0,0,0,1,0
1089619,"Bright, Huge Room in 3 Bedroom Apt.",5986790,Gen,40.83535,-73.94334,40,7,27,7/11/19,0.68,6,306,3.688879454,0,0,0,0,1,0
1090732,You take living or bedroom!,5993276,Alfred,40.7017,-73.82316,60,7,0,,0,1,362,4.094344562,0,1,0,0,0,1
1092760,Private Entrance - Backyard Summer Dining - Enjoy,5887081,Michelle,40.69034,-73.95321,110,7,196,7/20/19,2.7,2,273,4.700480366,1,0,0,0,0,0
1095106,Greenpoint - with your own space!,6016424,Susan,40.73026,-73.95596,77,4,54,6/2/19,0.71,1,74,4.343805422,1,0,0,0,1,0
1096326,"Private studio in staten island 

",6024006,Johnny,40.64699,-74.08151,190,2,0,,0,1,365,5.247024072,0,0,1,0,0,0
1096511,Private Room in Large Apt w/ Gorgeous Park View,364499,Ife,40.80602,-73.95362,85,2,236,7/28/19,3.12,1,62,4.442651256,0,0,0,0,1,0
1097816,Group-Student-Friendly Bklyn House,1709216,Steve And Heather,40.63612,-73.946,325,2,19,12/27/18,0.31,3,331,5.783825182,1,0,0,0,0,0
1098863,Great Bushwick Studio Apartment,2413714,Wilfredo,40.69305,-73.90398,125,2,117,7/21/19,1.54,1,359,4.828313737,1,0,0,0,0,0
1100421,"Cobble Hill, sunny large 1BR apt",1545977,Lelia,40.68754,-73.99284,195,30,38,6/1/19,0.5,1,341,5.272999559,1,0,0,0,0,0
1100753,Stunner Garden Apt in Townhouse,6046616,Stephen,40.83695,-73.94124,175,2,0,,0,1,309,5.164785974,0,0,0,0,0,0
1101035,Sunny 1 or 2 BR apt in Boerum Hill,6048514,Judy,40.68779,-73.98517,189,4,230,7/26/19,3.01,1,260,5.241747015,1,0,0,0,0,0
1101224,THE PUTNAM,2571,Teedo,40.68674,-73.93845,182,9,27,5/21/19,0.36,1,47,5.204006687,1,0,0,0,0,0
1102858,Brownstone Flat on Tree-Lined Block,5908577,Eric,40.67271,-73.94551,105,1,354,7/30/19,4.73,2,285,4.65396035,1,0,0,0,0,0
1102942,"1BR, 1BTH Duplex W/ LRG OUTD SPACE",6057624,Scooter,40.74268,-73.97853,240,1,67,6/15/19,0.88,1,307,5.480638923,0,0,0,0,0,0
1102963,The Bushwick 3BR 2BA 20 mins to NYC,3531317,Ingrid,40.68185,-73.90655,185,4,96,6/27/19,1.33,2,222,5.220355825,1,0,0,0,0,0
1105845,Convenient Location! 1 BR on 1Floor,3630531,Yuko,40.7457,-73.99775,160,4,5,1/1/19,0.07,1,197,5.075173815,0,0,0,0,0,0
1106284,Modern Loft Space on Gramercy Park,2757621,James,40.73708,-73.98455,250,4,24,7/4/19,0.32,1,9,5.521460918,0,0,0,0,0,0
1107976,Manhattan & Time Square in 30 minutes. Back room.,3158364,Devika,40.736,-73.92425,35,5,61,7/21/19,1.77,4,261,3.555348061,0,1,0,0,1,0
1108309,Charming Housebarge w/ outside deck,1018472,Angus,40.58408,-73.94122,85,4,73,7/31/19,0.97,2,310,4.442651256,1,0,0,0,0,0
1110195,Chic Brooklyn Apt.- Private Room,6093878,Gee,40.68068,-73.9535,80,2,44,6/29/19,0.62,1,187,4.382026635,1,0,0,0,1,0
1110484,"Forget NYC, Stay in Williamsburg! Best 1 BR Apt",1690569,Greg,40.71852,-73.95616,175,5,34,7/19/19,0.45,1,301,5.164785974,1,0,0,0,0,0
1112070,Private Room & Bath in Brooklyn!,350702,Autumn,40.66773,-73.96144,95,2,136,8/4/19,1.78,1,330,4.553876892,1,0,0,0,1,0
1112407,Harlem Short Term Stay,6105036,George,40.80477,-73.9512,158,4,38,7/2/19,0.5,3,296,5.062595033,0,0,0,0,0,0
1112484,Beautiful duplex on Bowery,3211592,Loli,40.71744,-73.99718,85,3,38,7/14/19,0.58,1,3,4.442651256,0,0,0,0,1,0
1113125,Huge 1br - tons of light - williamsburg,2733465,David,40.72068,-73.99576,209,1,23,7/23/18,0.45,1,365,5.342334252,0,0,0,0,0,0
1114409,2BR spacious luminous brownstone,265152,Marta,40.68545,-73.97572,150,2,21,6/2/19,0.28,3,3,5.010635294,1,0,0,0,0,0
1114788,Astoria Heights Gorgeous Guest Bedroom,6118355,William,40.77103,-73.89461,73,1,6,3/31/19,0.13,2,228,4.290459441,0,1,0,0,1,0
1117516,Beautiful new one bedroom apartment,6133754,Trevor,40.68798,-73.93903,95,3,222,7/21/19,2.94,1,270,4.553876892,1,0,0,0,0,0
1118031,Private room in Prime Soho/Nolita location,6136511,Sky,40.72212,-73.99676,89,3,30,7/20/19,0.42,2,152,4.48863637,0,0,0,0,1,0
1121448,1 rm @ 3BR loft williamsburg room 2,4864306,Joseph,40.72541,-73.9567,50,2,37,8/3/19,0.52,3,255,3.912023005,1,0,0,0,1,0
1121497,Spacious E Williamsburg with Yard!!,496164,Todd,40.70974,-73.93962,75,5,73,6/7/19,0.98,2,297,4.317488114,1,0,0,0,1,0
1121502,ART HOUSE VAULT,5942292,@ Art House Monique,40.68316,-73.93906,60,1,65,5/24/19,0.86,4,53,4.094344562,1,0,0,0,1,0
1123737,"Leelas Bright, Cosy, and furnushed room.",5986790,Gen,40.83479,-73.94345,45,5,21,7/4/19,0.56,6,270,3.80666249,0,0,0,0,1,0
1123960,Private Rm for 1 in Historic Harlem,6165258,Gita,40.80815,-73.94325,70,28,16,1/1/18,0.22,3,313,4.248495242,0,0,0,0,1,0
1124329,1 bedroom Apt 1 minute from the subway!,6163192,Izz,40.71928,-73.98993,140,3,128,7/24/19,1.68,1,249,4.941642423,0,0,0,0,0,0
1126432,South Slope One-Bedroom with Garden Terrace,5268463,Christy,40.66065,-73.98817,120,3,13,12/31/18,0.18,1,222,4.787491743,1,0,0,0,0,0
1126492,Andy Phillips,6180052,Andrian,40.68769,-73.9749,99,5,4,9/29/17,0.16,1,278,4.59511985,1,0,0,0,1,0
1126944,Private Home w/ Parking in Brooklyn,128663,Tina,40.64024,-73.96976,300,5,1,1/1/15,0.02,1,4,5.703782475,1,0,0,0,0,0
1127040,spacious PARK SLOPE room available,835112,Leah,40.66842,-73.98659,45,30,0,,0,1,55,3.80666249,1,0,0,0,1,0
1128681,Sunny Room in Lower East Side Apt!,302772,Cheryl,40.71446,-73.98833,115,3,29,6/29/19,0.47,2,354,4.744932128,0,0,0,0,1,0
